Theme,Subtheme,Keyword,Emotion
Mental Health,Depression,depressed,"sadness, nervousness, grief, disgust"
Mental Health,Depression,hopeless,"sadness, nervousness, grief, disgust"
Mental Health,Depression,numb,"sadness, nervousness, grief, disgust"
Mental Health,Depression,sadness,"sadness, nervousness, grief, disgust"
Mental Health,Depression,worthless,"sadness, nervousness, grief, disgust"
Mental Health,Depression,empty,"sadness, nervousness, grief, disgust"
Mental Health,Depression,low mood,"sadness, nervousness, grief, disgust"
Mental Health,Depression,crying,"sadness, nervousness, grief, disgust"
Mental Health,Depression,down,"sadness, nervousness, grief, disgust"
Mental Health,Depression,despair,"sadness, nervousness, grief, disgust"
Mental Health,Depression,lonely,"sadness, nervousness, grief, disgust"
Mental Health,Depression,fatigued,"sadness, nervousness, grief, disgust"
Mental Health,Depression,can't get out of bed,"sadness, nervousness, grief, disgust"
Mental Health,Depression,lost interest,"sadness, nervousness, grief, disgust"
Mental Health,Depression,no motivation,"sadness, nervousness, grief, disgust"
Mental Health,Depression,lifeless,"sadness, nervousness, grief, disgust"
Mental Health,Depression,gloomy,"sadness, nervousness, grief, disgust"
Mental Health,Depression,broken,"sadness, nervousness, grief, disgust"
Mental Health,Depression,isolated,"sadness, nervousness, grief, disgust"
Mental Health,Depression,tearful,"sadness, nervousness, grief, disgust"
Mental Health,Depression,heavy heart,"sadness, nervousness, grief, disgust"
Mental Health,Depression,feeling dead inside,"sadness, nervousness, grief, disgust"
Mental Health,Depression,dark thoughts,"sadness, nervousness, grief, disgust"
Mental Health,Depression,no energy,"sadness, nervousness, grief, disgust"
Mental Health,Depression,giving up,"sadness, nervousness, grief, disgust"
Mental Health,Depression,self-loathing,"sadness, nervousness, grief, disgust"
Mental Health,Depression,feeling like a burden,"sadness, nervousness, grief, disgust"
Mental Health,Depression,nothing matters,"sadness, nervousness, grief, disgust"
Mental Health,Depression,emptiness inside,"sadness, nervousness, grief, disgust"
Mental Health,Depression,losing the spark,"sadness, nervousness, grief, disgust"
Mental Health,Depression,losing spark,"sadness, nervousness, grief, disgust"
Mental Health,Anxiety,anxious,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,panic,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,nervous,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,overthinking,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,worry,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,stress,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,tense,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,racing heart,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,restless,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,fear,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,panic attack,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,anxiety attack,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,unease,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,dread,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,butterflies,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,shortness of breath,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,trembling,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,fidgeting,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,sweaty palms,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,fear of failure,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,overwhelmed by thoughts,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,insomnia,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,on edge,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,intrusive thoughts,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,catastrophizing,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,fear of judgment,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,can't relax,"nervousness, sadness, fear, anger"
Mental Health,Anxiety,hyperventilating,"nervousness, sadness, fear, anger"
Mental Health,Relief,calm,"relief, gratitude, optimism"
Mental Health,Relief,at ease,"relief, gratitude, optimism"
Mental Health,Relief,lighter,"relief, gratitude, optimism"
Mental Health,Relief,free,"relief, gratitude, optimism"
Mental Health,Relief,relieved,"relief, gratitude, optimism"
Mental Health,Relief,peace of mind,"relief, gratitude, optimism"
Mental Health,Relief,release,"relief, gratitude, optimism"
Mental Health,Relief,exhale,"relief, gratitude, optimism"
Mental Health,Relief,weight lifted,"relief, gratitude, optimism"
Mental Health,Relief,finally okay,"relief, gratitude, optimism"
Mental Health,Relief,tranquility,"relief, gratitude, optimism"
Mental Health,Relief,serene,"relief, gratitude, optimism"
Mental Health,Relief,comforted,"relief, gratitude, optimism"
Mental Health,Relief,safe again,"relief, gratitude, optimism"
Mental Health,Relief,no more pressure,"relief, gratitude, optimism"
Mental Health,Relief,grateful it's over,"relief, gratitude, optimism"
Mental Health,Relief,feeling better,"relief, gratitude, optimism"
Mental Health,Relief,unburdened,"relief, gratitude, optimism"
Mental Health,Relief,peaceful,"relief, gratitude, optimism"
Mental Health,Relief,relaxed,"relief, gratitude, optimism"
Mental Health,Relief,letting go,"relief, gratitude, optimism"
Mental Health,Relief,closure,"relief, gratitude, optimism"
Mental Health,Relief,found peace,"relief, gratitude, optimism"
Mental Health,Resilience,strong,"love, pride, relief, optimism"
Mental Health,Resilience,overcame,"love, pride, relief, optimism"
Mental Health,Resilience,bounced back,"love, pride, relief, optimism"
Mental Health,Resilience,coping,"love, pride, relief, optimism"
Mental Health,Resilience,persistence,"love, pride, relief, optimism"
Mental Health,Resilience,endurance,"love, pride, relief, optimism"
Mental Health,Resilience,inner strength,"love, pride, relief, optimism"
Mental Health,Resilience,determination,"love, pride, relief, optimism"
Mental Health,Resilience,never gave up,"love, pride, relief, optimism"
Mental Health,Resilience,pushing through,"love, pride, relief, optimism"
Mental Health,Resilience,healing,"love, pride, relief, optimism"
Mental Health,Resilience,growing,"love, pride, relief, optimism"
Mental Health,Resilience,survived,"love, pride, relief, optimism"
Mental Health,Resilience,adapting,"love, pride, relief, optimism"
Mental Health,Resilience,courage,"love, pride, relief, optimism"
Mental Health,Resilience,self-belief,"love, pride, relief, optimism"
Mental Health,Resilience,standing tall,"love, pride, relief, optimism"
Mental Health,Resilience,learned from it,"love, pride, relief, optimism"
Mental Health,Resilience,emotional strength,"love, pride, relief, optimism"
Mental Health,Resilience,grit,"love, pride, relief, optimism"
Mental Health,Resilience,perseverance,"love, pride, relief, optimism"
Mental Health,Resilience,staying hopeful,"love, pride, relief, optimism"
Mental Health,Resilience,rebuilding,"love, pride, relief, optimism"
Mental Health,Resilience,rising again,"love, pride, relief, optimism"
Mental Health,Resilience,heal,"love, pride, relief, optimism"
Mental Health,Stress,overwhelmed,"nervousness, anger, annoyance, fear"
Mental Health,Stress,pressure,"nervousness, anger, annoyance, fear"
Mental Health,Stress,tension,"nervousness, anger, annoyance, fear"
Mental Health,Stress,burnout,"nervousness, anger, annoyance, fear"
Mental Health,Stress,exhausted,"nervousness, anger, annoyance, fear"
Mental Health,Stress,under pressure,"nervousness, anger, annoyance, fear"
Mental Health,Stress,heavy workload,"nervousness, anger, annoyance, fear"
Mental Health,Stress,stress,"nervousness, anger, annoyance, fear"
Mental Health,Stress,losing my mind,"nervousness, anger, annoyance, fear"
Mental Health,Stress,can't handle it,"nervousness, anger, annoyance, fear"
Mental Health,Stress,tight schedule,"nervousness, anger, annoyance, fear"
Mental Health,Stress,mental strain,"nervousness, anger, annoyance, fear"
Mental Health,Stress,work overload,"nervousness, anger, annoyance, fear"
Mental Health,Stress,deadline anxiety,"nervousness, anger, annoyance, fear"
Mental Health,Stress,frustration,"nervousness, anger, annoyance, fear"
Mental Health,Stress,fatigue,"nervousness, anger, annoyance, fear"
Mental Health,Stress,snapping easily,"nervousness, anger, annoyance, fear"
Mental Health,Stress,emotionally drained,"nervousness, anger, annoyance, fear"
Mental Health,Stress,overworked,"nervousness, anger, annoyance, fear"
Mental Health,Stress,restless nights,"nervousness, anger, annoyance, fear"
Mental Health,Stress,too much going on,"nervousness, anger, annoyance, fear"
Mental Health,Stress,feeling stuck,"nervousness, anger, annoyance, fear"
Mental Health,Stress,tense muscles,"nervousness, anger, annoyance, fear"
